,Topic_Perc_Contrib,readability,richness,objectivity,Review Useful,text
0,0.3777,8.73,35.0,0.18166666666666664,0,"['think', 'extremely', 'care', 'attentive', 'need', 'thorough', 'exam', 'confident', 'ability', 'address', 'issue', 'recommend', 'highly']"
1,0.3602,8.71,78.49333333333335,0.6226190476190476,0,"['friendly', 'punctual', 'super', 'email', 'lab', 'result', 'physical', 'go', 'detail', 'make', 'feel', 'really', 'relieved', 'highly_recommende']"
2,0.3879,8.84,84.00000000000003,1.0,0,"['experience', 'doctor', 'past_experiences', 'see', 'time', 'allow', 'feel', 'need', 'patient', 'highly_recommend', 'friend', 'family', 'seek', 'treat', 'dignity', 'respect']"
3,0.3933,8.67,39.631589403973514,0.5,0,"['knowledgeable', 'friendly', 'manner', 'highly_recommend', 'friend', 'family']"
4,0.3933,8.87,111.99999999999991,0.5,0,"['knowledgeable', 'friendly', 'manner', 'highly_recommend', 'friend', 'family']"
5,0.3911,8.53,102.06,0.0,1,"['excellent', 'physician', 'exceptional', 'bedside_manners', 'always', 'time', 'call', 'ask', 'well', 'family']"
6,0.3678,7.4,80.91999999999999,0.32500000000000007,1,"['see', 'schleider', 'extremely', 'thorough', 'attentive', 'trust', 'completely', 'always', 'make', 'available', 'short_notice', 'deal', 'health', 'concern']"
7,0.398,8.22,15.0,0.3666666666666667,1,"['fantastic', 'service', 'friendly', 'knowledgeable', 'definitely', 'recommend', 'friend', 'family']"
8,0.3659,10.17,68.04,0.6,1,"['work', 'care', 'patient', 'require', 'hour', 'care', 'complex', 'cancer', 'relate', 'issue', 'management', 'patient', 'patient', 'family', 'nurse', 'manner', 'explain', 'thoroughly', 'pleasure', 'work']"
9,0.3869,6.01,71.68,0.4,1,"['place', 'neat', 'really', 'enjoy', 'experience', 'stuff', 'friendly', 'see', 'doctor', 'never', 'comfortable']"
10,0.373,6.66,58.83500000000002,0.4833333333333333,1,"['amazing', 'genuinely_care', 'well', 'take', 'time', 'order', 'provide', 'well', 'service', 'practice', 'really', 'efficient', 'overall', 'pleasant', 'place']"
11,0.3783,8.59,63.00000000000002,0.375,1,"['welcome', 'professional', 'excellent', 'make', 'feel_comfortable', 'definitely', 'continue', 'recommend', 'family']"
12,0.4086,7.26,96.68615384615386,0.09583333333333333,1,"['make', 'go', 'pleasant', 'convenient', 'possibly', 'always', 'work', 'schedule', 'call', 'need', 'appointment', 'prompt', 'care', 'knowledgeable', 'patient', 'always', 'receive', 'accurate_diagnosis', 'impeccable', 'treatment', 'money', 'receive', 'kind', 'care']"
13,0.4467,6.97,52.66825255228467,0.2833333333333333,1,"['thorough', 'diagnosis', 'provide', 'time', 'rush', 'understand', 'patient', 'need', 'provide', 'quality', 'care', 'available', 'willing', 'help', 'patient', 'ask', 'qualified', 'doctor', 'recommend', 'need', 'exceptional', 'care', 'doctor']"
14,0.3581,7.39,79.82545454545456,0.7,1,"['best', 'need', 'appointment', 'short_notice', 'find', 'way', 'bloodwork', 'already', 'result', 'contact', 'regard', 'punctual', 'knowledgable', 'curtious', 'personable', 'recommend', 'family', 'friend', 'po']"
15,0.383,6.99,97.47877358490567,0.6619047619047619,1,"['ok', 'price', 'cheap', 'figure', 'health', 'important_thing', 'risk', 'turn', 'penny', 'primary_care', 'doctor', 'never', 'change', 'see', 'severe', 'medical', 'problem', 'punctual', 'knowledgeable', 'perfect', 'care', 'followed', 'check', 'physical', 'mental', 'state', 'give', 'severity', 'diagnosis', 'stay', 'faithful', 'ever', 'never', 'disappoint', 'worth', 'mention', 'psychologist', 'field', 'time', 'office', 'always', 'read', 'date', 'medical', 'journal', 'comfort', 'make', 'point', 'stay', 'current', 'ever', 'change', 'field', 'medicine', 'basically', 'tell', 'fan', 'staff', 'encourage', 'care', 'health', 'invest']"
16,0.3847,6.86,60.480000000000025,0.6333333333333333,1,"['see', 'horrible', 'sickness', 'give', 'fluid', 'collect', 'lab', 'get', 'lab', 'result', 'back', 'feel', 'well', 'thank']"
17,0.35,5.93,80.86400000000003,0.19999999999999996,1,"['far', 'good', 'doctor', 'truly', 'knowledgable', 'personality', 'teacher', 'internship', 'teach', 'thing', 'never', 'know']"
18,0.4027,7.08,61.0,0.55,1,"['probably', 'save', 'time', 'see', 'predictably', 'genius', 'diagnostician', 'knows_exactly', 'problem', 'take', 'long', 'take', 'figure', 'spend', 'give', 'symptom', 'always', 'correct', 'diagnosis', 'prognosis', 'truly', 'unsung', 'hero']"
19,0.374,7.31,85.74999999999997,0.32500000000000007,1,"['see', 'schleider', 'extremely', 'thorough', 'attentive', 'trust', 'completely', 'always', 'make', 'available', 'deal', 'health', 'concern']"
20,0.3754,9.79,90.71999999999997,0.521875,1,"['calm', 'professional', 'attribute', 'deal', 'patient', 'often', 'feel', 'unnerved', 'broad', 'knowledge', 'attentiveness', 'help', 'greatly', 'time', 'need']"
21,0.4161,6.06,59.95872420262664,0.640079365079365,0,"['luckily', 'able', 'son', 'office', 'able', 'put', 'old', 'son', 'ease', 'enough', 'allow', 'physical', 'last', 'series', 'vaccination', 'shot', 'doctor', 'son', 'call', 'need', 'son']"
22,0.3725,7.83,114.33333333333331,0.25,1,"['extremely', 'helpful', 'respond', 'quickly', 'give', 'instruction', 'handle', 'finger', 'stop', 'bleed', 'patient', 'personable', 'highly_recommend', 'see']"
23,0.3689,6.78,51.03,0.4600000000000001,1,"['care', 'well', 'efficient', 'lab', 'diagnosis', 'recommend', 'highly']"
24,0.3817,6.18,72.69907852612872,0.7614583333333333,1,"['family', 'use', 'must', 'really', 'like', 'family', 'never', 'wait', 'professional', 'knowlegeable', 'provide', 'service', 'unrushed', 'pay', 'thing', 'wait', 'emergency_room', 'sometimes', 'say', 'doctor', 'back', 'never', 'direct', 'access', 'mobile', 'provide', 'service', 'truly', 'reccommend', 'practice', 'look', 'little', 'extra', 'hard', 'day', 'call', 'less', 'appointment', 'office']"
25,0.4063,5.99,58.86999999999998,0.0,1,"['call', 'doctor', 'family', 'send', 'immdediately', 'diagnose', 'heart', 'event', 'call', 'likely', 'saved', 'service', 'excellent']"
26,0.4001,6.59,61.74000000000001,0.5777777777777777,1,"['extremely', 'professional', 'thorough', 'competent', 'staff', 'friendly', 'feel_comfortable', 'doctor']"
27,0.3682,7.18,65.83111111111113,0.4666666666666667,1,"['excellent', 'doctor', 'emergency', 'call', 'come', 'immediately', 'definitely', 'prompt', 'professional', 'thorough', 'looking', 'highly_recommend']"
28,0.3676,7.9,50.54000000000001,0.5,1,"['extremely_please', 'level', 'service', 'affection', 'display', 'call', 'emergency', 'respond', 'quickly', 'receive', 'medicine', 'attention', 'require', 'thumb']"
29,0.3667,6.21,96.03999999999998,0.24848484848484853,1,"['feel', 'awful', 'detoxing', 'prescription', 'painkiller', 'everywhere', 'call', 'say', 'see', 'show', 'trasnistion', 'pill', 'free', 'promise', 'smoking', 'new', 'year', 'resolution']"
30,0.4245,8.65,149.33333333333343,0.2333333333333334,1,"['polite', 'care', 'attentive', 'work', 'assistant', 'cheerful', 'talkative', 'individual', 'put', 'ease', 'throught', 'examination', 'feel', 'clinical', 'give', 'meaning', 'term', 'family', 'doctor', 'thank']"
31,0.3578,7.49,94.13600000000001,0.625,1,"['well_worth', 'fee', 'due', 'amount', 'knowledge', 'warmth', 'accessability', 'stock', 'medicine', 'save', 'pharmacy', 'never', 'meet', 'doctor', 'compassionate', 's', 'post']"
32,0.4625,8.06,80.20912806539509,0.6056547619047619,1,"['schledi', 'call', 'alive', 'elderly', 'history', 'hypertension', 'list', 'go', 'hospitalize', 'period', 'face', 'medical', 'emergency', 'require', 'immediate', 'action', 'panic', 'doctor', 'make', 'housecall', 'replace', 'present', 'family', 'doctor', 'luckily', 'refer', 'call', 'physician', 'neurologist', 'contact', 'apparent', 'speak', 'experienced', 'physician', 'immediately', 'take', 'charge', 'situation', 'make', 'certain', 'father', 'quality', 'compromise', 'way', 'keep', 'family', 'physician']"
33,0.3734,5.24,123.70399999999995,0.4,1,"['knowledgable', 'patient', 'family', 'never', 'feel', 'reushed', 'way', 'use', 'doctor', 'kid', 'love', 'pleasure', 'doctor', 'still', 'make', 'house', 'call']"
34,0.3944,6.37,161.83999999999997,0.29166666666666674,1,"['like', 'calm', 'reassuring', 'manner', 'bad', 'stop', 'cough', 'call', 'check', 'condition', 'breath']"
35,0.337,6.4,40.459999999999994,0.35,1,"['doctor', 'true', 'sense', 'word']"
36,0.3602,5.34,12.0,1.0,1,"['helpful', 'bit', 'rush', 'keep', 'get', 'interrupt', 'phone_call']"
37,0.3397,0.4,22.679999999999993,1.0,1,"['sister', 'niece']"
38,0.4161,7.64,98.74666666666666,0.38888888888888895,0,"['bad', 'physician', 'ever_encountere', 'interested', 'money', 'audacity', 'tell', 'order', 'examine', 'ought', 'join', 'otherwise', 'call', 'service', 'delusional', 'bad', 'character', 'attitude']"
39,0.3493,6.07,42.0,0.42222222222222217,0,"['please', 'lucky', 'primary', 'physician', 'start', 'practice', 'available', 'ever']"
40,0.3333,5.11,54.88000000000004,1.0,0,['tell']
41,0.3675,5.97,80.17219917012449,0.4027777777777778,0,"['shocked', 'person', 'notice', 'safely', 'surmise', 'person', 'issue', 'good', 'trust', 'health', 'brilliant', 'patient', 'keep', 'late', 'negative', 'report', 'stay', 'reason', 'likely', 'due', 'need', 'extra', 'care', 'last_thing', 'care', 'money', 'truly_care', 'patient']"
42,0.3595,7.96,94.64000000000001,0.530952380952381,0,"['history', 'form', 'patient', 'fill', 'extensive', 'take', 'time', 'review', 'comprehensive', 'medical', 'examination', 'ever', 'smart', 'sensitive', 'listener', 'talk']"
