Name,Star Rating,Staff,Punctuality,Helpfulness,Knowledge
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,4.0,5,5.0,5,1.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,5,5.0,5,5.0
Dr. Natan Schleider,5.0,0,5.0,5,5.0
Dr. Natan Schleider,5.0,0,5.0,5,5.0
Dr. Natan Schleider,5.0,0,5.0,5,5.0
Dr. Natan Schleider,2.33,0,2.0,2,3.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,1.0,1,1.0,1,1.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,3.75,5,4.0,3,3.0
Dr. George P. Liakeas,4.75,5,4.0,5,5.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,1.0,1,1.0,1,1.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,4.5,5,4.0,5,4.0
Dr. George P. Liakeas,1.25,1,1.0,1,2.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,5.0,5,5.0,5,5.0
Dr. George P. Liakeas,5.0,0,5.0,5,5.0
Dr. George P. Liakeas,4.67,0,4.0,5,5.0
Dr. George P. Liakeas,5.0,0,5.0,5,5.0
Dr. George P. Liakeas,5.0,0,5.0,5,5.0
Dr. George P. Liakeas,5.0,0,5.0,5,5.0
Dr. Tammy L. Leopold,5.0,5,5.0,5,5.0
Dr. Tammy L. Leopold,5.0,5,5.0,5,5.0
Dr. Tammy L. Leopold,4.5,4,4.0,5,5.0
Dr. Tammy L. Leopold,5.0,5,5.0,5,5.0
Dr. Tammy L. Leopold,5.0,5,5.0,5,5.0
Dr. Tammy L. Leopold,5.0,5,5.0,5,5.0
Dr. Tammy L. Leopold,2.25,2,5.0,1,1.0
Dr. Tammy L. Leopold,5.0,5,5.0,5,5.0
Dr. Tammy L. Leopold,5.0,5,5.0,5,5.0
Dr. Tammy L. Leopold,4.75,5,5.0,5,4.0
Dr. Tammy L. Leopold,4.75,5,4.0,5,5.0
Dr. Tammy L. Leopold,4.5,5,3.0,5,5.0
Dr. Tammy L. Leopold,4.75,5,4.0,5,5.0
Dr. Tammy L. Leopold,4.75,5,4.0,5,5.0
Dr. Tammy L. Leopold,4.75,5,4.0,5,5.0
Dr. Tammy L. Leopold,4.5,4,4.0,5,5.0
Dr. Tammy L. Leopold,4.75,5,4.0,5,5.0
Dr. Tammy L. Leopold,2.5,3,2.0,1,4.0
Dr. Tammy L. Leopold,4.75,5,4.0,5,5.0
Dr. Tammy L. Leopold,5.0,5,5.0,5,5.0
Dr. Tammy L. Leopold,4.5,4,4.0,5,5.0
Dr. Tammy L. Leopold,4.75,5,4.0,5,5.0
Dr. Tammy L. Leopold,4.25,4,3.0,5,5.0
Dr. Tammy L. Leopold,4.0,4,2.0,5,5.0
Dr. Tammy L. Leopold,5.0,0,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,5.0,5,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,5.0,5,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,5.0,5,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,5.0,5,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,1.0,1,1.0,1,1.0
Dr. Irina Korneeva-Vladimirsky,5.0,5,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,5.0,5,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,4.25,4,3.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,5.0,5,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,4.75,4,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,5.0,5,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,5.0,5,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,4.5,3,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,5.0,5,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,5.0,5,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,5.0,5,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,5.0,5,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,5.0,5,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,5.0,5,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,5.0,5,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,5.0,5,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,2.0,2,3.0,2,1.0
Dr. Irina Korneeva-Vladimirsky,4.75,4,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,1.25,1,2.0,1,1.0
Dr. Irina Korneeva-Vladimirsky,5.0,5,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,1.0,1,1.0,1,1.0
Dr. Irina Korneeva-Vladimirsky,5.0,5,5.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,4.75,5,4.0,5,5.0
Dr. Irina Korneeva-Vladimirsky,4.5,3,5.0,5,5.0
Dr. Lyubov Moysik,5.0,5,5.0,5,5.0
Dr. Lyubov Moysik,5.0,5,5.0,5,5.0
Dr. Lyubov Moysik,5.0,5,5.0,5,5.0
Dr. Lyubov Moysik,5.0,5,5.0,5,5.0
Dr. Lyubov Moysik,5.0,5,5.0,5,5.0
Dr. Lyubov Moysik,5.0,5,5.0,5,5.0
Dr. Lyubov Moysik,5.0,5,5.0,5,5.0
Dr. Lyubov Moysik,5.0,5,5.0,5,5.0
Dr. Alexander Blinski,5.0,5,5.0,5,5.0
Dr. Alexander Blinski,5.0,5,5.0,5,5.0
Dr. Alexander Blinski,5.0,5,5.0,5,5.0
Dr. Alexander Blinski,5.0,5,5.0,5,5.0
Dr. Alexander Blinski,5.0,5,5.0,5,5.0
Dr. Alexander Blinski,5.0,5,5.0,5,5.0
Dr. Alexander Blinski,5.0,5,5.0,5,5.0
Dr. Pamela Hops,5.0,5,5.0,5,5.0
Dr. Pamela Hops,4.75,4,5.0,5,5.0
Dr. Pamela Hops,5.0,5,5.0,5,5.0
Dr. Pamela Hops,5.0,5,5.0,5,5.0
Dr. Pamela Hops,5.0,5,5.0,5,5.0
Dr. Pamela Hops,5.0,5,5.0,5,5.0
Dr. Pamela Hops,5.0,5,5.0,5,5.0
Dr. Pamela Hops,4.67,0,4.0,5,5.0
Dr. Pamela Hops,4.67,0,4.0,5,5.0
Dr. Pamela Hops,5.0,0,5.0,5,5.0
Dr. Pamela Hops,2.67,0,4.0,2,2.0
Dr. Pamela Hops,5.0,0,5.0,5,5.0
Dr. Gary L. Ostrow,5.0,5,5.0,5,5.0
Dr. Gary L. Ostrow,5.0,5,5.0,5,5.0
Dr. Gary L. Ostrow,5.0,5,5.0,5,5.0
Dr. Gary L. Ostrow,5.0,5,5.0,5,5.0
Dr. Gary L. Ostrow,5.0,5,5.0,5,5.0
Dr. Gary L. Ostrow,5.0,5,5.0,5,5.0
Dr. Leslie H. Gerstman,5.0,5,5.0,5,5.0
Dr. Leslie H. Gerstman,5.0,5,5.0,5,5.0
Dr. Leslie H. Gerstman,5.0,5,5.0,5,5.0
Dr. Leslie H. Gerstman,5.0,5,5.0,5,5.0
Dr. Leslie H. Gerstman,5.0,5,5.0,5,5.0
Dr. Leslie H. Gerstman,5.0,5,5.0,5,5.0
Dr. Valerie Lyon,5.0,5,5.0,5,5.0
Dr. Valerie Lyon,2.0,3,2.0,1,2.0
Dr. Valerie Lyon,2.25,3,4.0,1,1.0
Dr. Valerie Lyon,5.0,5,5.0,5,5.0
Dr. Valerie Lyon,3.75,4,3.0,3,5.0
Dr. Valerie Lyon,5.0,5,5.0,5,5.0
Dr. Valerie Lyon,5.0,5,5.0,5,5.0
Dr. Valerie Lyon,5.0,5,5.0,5,5.0
Dr. Valerie Lyon,5.0,5,5.0,5,5.0
Dr. Valerie Lyon,5.0,5,5.0,5,5.0
Dr. Valerie Lyon,5.0,5,5.0,5,5.0
Dr. Valerie Lyon,5.0,5,5.0,5,5.0
Dr. Valerie Lyon,5.0,5,5.0,5,5.0
Dr. Valerie Lyon,4.75,4,5.0,5,5.0
Dr. Valerie Lyon,4.75,4,5.0,5,5.0
Dr. Valerie Lyon,4.75,5,4.0,5,5.0
Dr. Valerie Lyon,5.0,5,5.0,5,5.0
Dr. Valerie Lyon,4.25,4,3.0,5,5.0
Dr. Valerie Lyon,5.0,5,5.0,5,5.0
Dr. Valerie Lyon,4.75,5,4.0,5,5.0
Dr. Valerie Lyon,3.5,1,3.0,5,5.0
Dr. Valerie Lyon,1.0,1,1.0,1,1.0
Dr. Valerie Lyon,2.25,3,4.0,1,1.0
Dr. Valerie Lyon,2.0,3,3.0,1,1.0
Dr. Valerie Lyon,4.25,3,4.0,5,5.0
Dr. Valerie Lyon,4.75,5,4.0,5,5.0
Dr. Valerie Lyon,4.5,4,4.0,5,5.0
Dr. Valerie Lyon,4.25,4,4.0,5,4.0
Dr. Valerie Lyon,5.0,5,5.0,5,5.0
Dr. Valerie Lyon,1.0,1,1.0,1,1.0
Dr. Valerie Lyon,4.0,3,3.0,5,5.0
